,model_name,init_time,readme_time,init_readme_diff
25736,t5-11b,2019-12-13,Fri Dec 11 22:25:43 2020 +0100,364 days 06:01:06
3142,t5-3b,2019-12-13,Fri Dec 11 22:25:46 2020 +0100,364 days 05:16:40
22524,TurkuNLP/bert-base-finnish-uncased-v1,2019-12-16,Fri Dec 11 22:30:41 2020 +0100,360 days 21:44:13
8170,TurkuNLP/bert-base-finnish-cased-v1,2019-12-16,Fri Dec 11 22:30:38 2020 +0100,360 days 21:43:18
10823,xlm-roberta-base,2019-12-18,Fri Dec 11 22:26:06 2020 +0100,358 days 22:48:52
28823,xlm-roberta-large,2019-12-18,Thu Sep 16 09:22:03 2021 +0000,637 days 10:42:45
3423,xlm-roberta-large-finetuned-conll02-spanish,2019-12-19,Fri Jul 22 08:07:22 2022 +0000,945 days 12:07:11
22954,xlm-roberta-large-finetuned-conll03-german,2019-12-19,Fri Dec 11 22:26:10 2020 +0100,358 days 01:15:28
7394,xlm-roberta-large-finetuned-conll02-dutch,2019-12-19,Fri Jul 22 08:07:08 2022 +0000,945 days 11:47:19
18080,xlm-roberta-large-finetuned-conll03-english,2019-12-19,Fri Jul 22 08:04:08 2022 +0000,945 days 16:38:26
20864,albert-xlarge-v1,2019-12-20,Wed Jan 13 15:29:25 2021 +0000,390 days 03:00:34
11774,albert-base-v1,2019-12-20,Fri Dec 11 22:23:09 2020 +0100,357 days 08:54:18
11344,albert-large-v1,2019-12-20,Wed Jan 13 15:26:20 2021 +0000,390 days 02:57:29
14637,albert-xxlarge-v1,2019-12-20,Wed Jan 13 15:30:56 2021 +0000,390 days 03:02:05
29760,dccuchile/bert-base-spanish-wwm-cased,2019-12-23,Fri Dec 11 22:37:32 2020 +0100,354 days 02:15:05
6926,dccuchile/bert-base-spanish-wwm-uncased,2019-12-23,Fri Dec 11 22:37:35 2020 +0100,354 days 02:19:08
12204,dbmdz/bert-base-italian-cased,2019-12-29,Fri Dec 11 22:36:50 2020 +0100,348 days 21:19:33
12948,dbmdz/bert-base-german-uncased,2019-12-29,Fri Dec 11 22:36:47 2020 +0100,348 days 21:28:00
20690,dbmdz/bert-base-italian-uncased,2019-12-29,Fri Dec 11 22:36:53 2020 +0100,348 days 21:17:15
22958,Musixmatch/umberto-commoncrawl-cased-v1,2020-01-10,Fri Dec 11 22:29:31 2020 +0100,336 days 11:35:29
25985,julien-c/dummy-unknown,2020-01-11,Sat Jan 11 03:34:02 2020 +0000,0 days 00:00:02
5340,neuralmind/bert-base-portuguese-cased,2020-01-13,Fri Dec 11 22:56:58 2020 +0100,333 days 19:26:13
26465,neuralmind/bert-large-portuguese-cased,2020-01-13,Fri Dec 11 22:57:01 2020 +0100,333 days 19:24:45
11738,deepset/bert-large-uncased-whole-word-masking-squad2,2020-01-17,Wed Jan 27 16:31:21 2021 +0000,376 days 05:39:40
16501,deepset/bert-base-german-cased-hatespeech-GermEval18Coarse,2020-01-17,Wed Jan 27 16:29:50 2021 +0000,376 days 00:45:48
21513,dbmdz/bert-base-italian-xxl-uncased,2020-01-19,Fri Dec 11 22:36:59 2020 +0100,327 days 19:34:33
24302,dbmdz/bert-base-italian-xxl-cased,2020-01-19,Fri Dec 11 22:36:56 2020 +0100,327 days 19:37:52
4794,deepset/bert-base-cased-squad2,2020-01-20,Wed Jan 27 16:28:22 2021 +0000,372 days 23:25:53
5060,deepset/roberta-base-squad2,2020-01-22,Wed Nov 11 14:53:33 2020 +0100,294 days 06:36:39
27956,flaubert/flaubert_base_uncased,2020-01-22,Wed Dec 16 12:42:37 2020 +0000,329 days 02:04:21
27108,flaubert/flaubert_large_cased,2020-01-22,Wed Dec 16 12:43:29 2020 +0000,329 days 01:53:31
8921,flaubert/flaubert_base_cased,2020-01-22,Wed Dec 16 12:37:19 2020 +0000,329 days 01:49:29
17257,flaubert/flaubert_small_cased,2020-01-24,Wed Dec 16 12:44:24 2020 +0000,327 days 00:56:05
9478,henryk/bert-base-multilingual-cased-finetuned-dutch-squad2,2020-01-27,Fri Dec 11 22:43:45 2020 +0100,319 days 07:32:47
2685,KBLab/bert-base-swedish-cased-ner,2020-02-01,Fri Dec 11 22:29:11 2020 +0100,314 days 00:40:34
15786,KBLab/bert-base-swedish-cased,2020-02-02,Fri Dec 11 22:29:14 2020 +0100,313 days 09:57:10
10887,KBLab/albert-base-swedish-cased-alpha,2020-02-02,Fri Dec 11 22:29:07 2020 +0100,312 days 23:59:35
21755,canwenxu/BERT-of-Theseus-MNLI,2020-02-06,Fri Dec 11 22:35:28 2020 +0100,309 days 02:49:33
16163,distilbert-base-cased,2020-02-07,Fri Dec 11 22:23:53 2020 +0100,308 days 02:07:53
18623,distilbert-base-cased-distilled-squad,2020-02-07,Fri Dec 11 22:23:50 2020 +0100,308 days 02:07:50
9985,dbmdz/bert-base-german-europeana-cased,2020-02-10,Fri Dec 11 22:36:40 2020 +0100,305 days 00:06:50
16999,dbmdz/bert-base-german-europeana-uncased,2020-02-10,Fri Dec 11 22:36:43 2020 +0100,305 days 00:05:18
26875,mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,2020-02-11,Fri Dec 11 22:52:38 2020 +0100,303 days 23:28:08
13891,facebook/bart-large,2020-02-12,Fri Dec 11 22:39:34 2020 +0100,303 days 01:45:57
3496,fmikaelian/flaubert-base-uncased-squad,2020-02-12,Fri Dec 11 22:40:15 2020 +0100,303 days 00:13:00
22863,facebook/bart-large-mnli,2020-02-12,Fri Dec 11 22:39:30 2020 +0100,303 days 01:45:29
29671,nlpaueb/bert-base-greek-uncased-v1,2020-02-13,Fri Dec 11 22:58:09 2020 +0100,301 days 22:47:12
29569,severinsimmler/literary-german-bert,2020-02-13,Fri Dec 11 23:01:48 2020 +0100,302 days 09:37:04
2692,julien-c/EsperBERTo-small,2020-02-14,Fri Feb 14 19:16:46 2020 +0000,0 days 00:00:30
11689,julien-c/EsperBERTo-small-pos,2020-02-14,Fri Dec 11 22:48:08 2020 +0100,301 days 02:02:25
21120,mrm8488/distill-bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,2020-02-14,Fri Dec 11 22:53:52 2020 +0100,301 days 18:55:17
