,model_name,init_time,readme_time,init_readme_diff
14630,Helsinki-NLP/opus-mt-sv-sn,2020-04-29,Wed May 13 12:39:37 2020 +0000,13 days 22:26:49
18862,Helsinki-NLP/opus-mt-fi-lus,2020-04-29,Wed May 13 12:38:52 2020 +0000,14 days 09:44:07
2189,Helsinki-NLP/opus-mt-sk-fr,2020-04-29,Wed May 13 12:39:26 2020 +0000,13 days 22:54:11
12042,Helsinki-NLP/opus-mt-en-kqn,2020-04-29,Wed May 13 12:38:33 2020 +0000,14 days 10:44:55
10148,Helsinki-NLP/opus-mt-loz-fi,2020-04-29,Wed May 13 12:39:15 2020 +0000,13 days 23:30:18
9442,Helsinki-NLP/opus-mt-sq-en,2020-04-29,Wed May 13 12:39:28 2020 +0000,13 days 22:50:48
11659,Helsinki-NLP/opus-mt-en-bi,2020-04-29,Wed May 13 12:38:30 2020 +0000,14 days 10:56:46
15417,Helsinki-NLP/opus-mt-ko-en,2020-04-29,Wed May 13 12:39:13 2020 +0000,13 days 23:37:04
15426,Helsinki-NLP/opus-mt-lus-fr,2020-04-29,Wed May 13 12:39:17 2020 +0000,13 days 23:22:31
1538,Helsinki-NLP/opus-mt-fr-yap,2020-04-29,Wed May 13 12:39:04 2020 +0000,14 days 00:04:04
7302,Helsinki-NLP/opus-mt-sv-hu,2020-04-29,Wed May 13 12:39:34 2020 +0000,13 days 22:38:16
5901,Helsinki-NLP/opus-mt-es-nl,2020-04-29,Wed May 13 12:38:44 2020 +0000,14 days 10:09:15
15436,Helsinki-NLP/opus-mt-csn-es,2020-04-29,Wed May 13 12:38:23 2020 +0000,14 days 11:22:10
14258,Helsinki-NLP/opus-mt-sv-lue,2020-04-29,Wed May 13 12:39:35 2020 +0000,13 days 22:34:14
21463,Helsinki-NLP/opus-mt-fr-srn,2020-04-29,Wed May 13 12:39:02 2020 +0000,14 days 00:09:48
2110,Helsinki-NLP/opus-mt-en-mfe,2020-04-29,Wed May 13 12:38:34 2020 +0000,14 days 10:40:56
2111,Helsinki-NLP/opus-mt-es-fi,2020-04-29,Wed May 13 12:38:42 2020 +0000,14 days 10:17:41
6714,Helsinki-NLP/opus-mt-sq-sv,2020-04-29,Wed May 13 12:39:28 2020 +0000,13 days 22:50:15
6636,Helsinki-NLP/opus-mt-kwy-en,2020-04-29,Wed May 13 12:39:14 2020 +0000,13 days 23:34:41
21385,Helsinki-NLP/opus-mt-en-mg,2020-04-29,Wed May 13 12:38:34 2020 +0000,14 days 10:40:44
27277,Helsinki-NLP/opus-mt-en-gil,2020-04-29,Wed May 13 12:38:32 2020 +0000,14 days 10:50:22
25265,Helsinki-NLP/opus-mt-es-ig,2020-04-29,Wed May 13 12:38:43 2020 +0000,14 days 10:13:18
15631,Helsinki-NLP/opus-mt-es-ber,2020-04-29,Wed May 13 12:38:40 2020 +0000,14 days 10:23:25
11419,Helsinki-NLP/opus-mt-sv-mh,2020-04-29,Wed May 13 12:39:35 2020 +0000,13 days 22:32:51
13391,Helsinki-NLP/opus-mt-fr-eo,2020-04-29,Wed May 13 12:38:58 2020 +0000,14 days 00:23:53
28343,Helsinki-NLP/opus-mt-es-xh,2020-04-29,Wed May 13 12:38:47 2020 +0000,14 days 09:59:50
13400,Helsinki-NLP/opus-mt-lv-fr,2020-04-29,Wed May 13 12:39:18 2020 +0000,13 days 23:20:59
6719,Helsinki-NLP/opus-mt-id-sv,2020-04-29,Wed May 13 12:39:09 2020 +0000,13 days 23:48:38
12067,Helsinki-NLP/opus-mt-de-en,2020-04-29,Wed May 13 12:38:25 2020 +0000,14 days 11:14:56
18778,Helsinki-NLP/opus-mt-lg-sv,2020-04-29,Wed May 13 12:39:14 2020 +0000,13 days 23:32:57
15518,Helsinki-NLP/opus-mt-es-wls,2020-04-29,Wed May 13 12:38:47 2020 +0000,14 days 10:00:07
5852,Helsinki-NLP/opus-mt-fr-bcl,2020-04-29,Wed May 13 12:38:57 2020 +0000,14 days 00:26:54
9362,Helsinki-NLP/opus-mt-fi-ceb,2020-04-29,Wed May 13 12:38:49 2020 +0000,14 days 09:54:18
11733,Helsinki-NLP/opus-mt-sv-nl,2020-04-29,Wed May 13 12:39:35 2020 +0000,13 days 22:31:16
15534,Helsinki-NLP/opus-mt-de-ha,2020-04-29,Wed May 13 12:38:26 2020 +0000,14 days 11:11:59
19990,Helsinki-NLP/opus-mt-fr-kqn,2020-04-29,Wed May 13 12:38:59 2020 +0000,14 days 00:18:09
18743,Helsinki-NLP/opus-mt-sv-lu,2020-04-29,Wed May 13 12:39:34 2020 +0000,13 days 22:35:00
18740,Helsinki-NLP/opus-mt-en-tpi,2020-04-29,Wed May 13 12:38:38 2020 +0000,14 days 10:28:30
365,Helsinki-NLP/opus-mt-de-cs,2020-04-29,Wed May 13 12:38:24 2020 +0000,14 days 11:16:50
5805,Helsinki-NLP/opus-mt-de-ln,2020-04-29,Wed May 13 12:38:27 2020 +0000,14 days 11:07:58
6715,Helsinki-NLP/opus-mt-sv-guw,2020-04-29,Wed May 13 12:39:33 2020 +0000,13 days 22:40:08
3282,Helsinki-NLP/opus-mt-crs-es,2020-04-29,Wed May 13 12:38:22 2020 +0000,14 days 11:25:19
15619,Helsinki-NLP/opus-mt-fr-gaa,2020-04-29,Wed May 13 12:38:58 2020 +0000,14 days 00:22:42
25285,Helsinki-NLP/opus-mt-fi-ig,2020-04-29,Wed May 13 12:38:51 2020 +0000,14 days 09:47:06
20558,Helsinki-NLP/opus-mt-cs-de,2020-04-29,Wed May 13 12:38:22 2020 +0000,14 days 11:24:12
6299,Helsinki-NLP/opus-mt-rw-es,2020-04-29,Wed May 13 12:39:25 2020 +0000,13 days 22:56:59
7028,Helsinki-NLP/opus-mt-en-mt,2020-04-29,Wed May 13 12:38:35 2020 +0000,14 days 10:38:51
2395,Helsinki-NLP/opus-mt-id-es,2020-04-29,Wed May 13 12:39:09 2020 +0000,13 days 23:49:31
6848,Helsinki-NLP/opus-mt-en-mr,2020-04-29,Wed May 13 12:38:35 2020 +0000,14 days 10:39:25
14790,Helsinki-NLP/opus-mt-fi-sg,2020-04-29,Wed May 13 12:38:54 2020 +0000,14 days 00:36:23
30407,Helsinki-NLP/opus-mt-sv-kwy,2020-04-29,Wed May 13 12:39:34 2020 +0000,13 days 22:36:02
9627,Helsinki-NLP/opus-mt-fi-st,2020-04-29,Wed May 13 12:38:54 2020 +0000,14 days 00:34:22
20109,Helsinki-NLP/opus-mt-pag-de,2020-04-29,Wed May 13 12:39:22 2020 +0000,13 days 23:07:32
15095,Helsinki-NLP/opus-mt-en-lg,2020-04-29,Wed May 13 12:38:33 2020 +0000,14 days 10:44:00
1498,Helsinki-NLP/opus-mt-en-nso,2020-04-29,Wed May 13 12:38:35 2020 +0000,14 days 10:37:42
7355,Helsinki-NLP/opus-mt-fr-lg,2020-04-29,Wed May 13 12:38:59 2020 +0000,14 days 00:17:40
10286,Helsinki-NLP/opus-mt-pl-en,2020-04-29,Wed May 13 12:39:23 2020 +0000,13 days 23:03:32
3350,Helsinki-NLP/opus-mt-sn-en,2020-04-29,Wed May 13 12:39:27 2020 +0000,13 days 22:51:58
25298,Helsinki-NLP/opus-mt-lu-fr,2020-04-29,Wed May 13 12:39:16 2020 +0000,13 days 23:24:00
21348,Helsinki-NLP/opus-mt-en-eu,2020-04-29,Wed May 13 12:38:31 2020 +0000,14 days 10:51:51
28308,Helsinki-NLP/opus-mt-bem-sv,2020-04-29,Wed May 13 12:38:19 2020 +0000,14 days 11:35:49
375,Helsinki-NLP/opus-mt-iso-fr,2020-04-29,Wed May 13 12:39:11 2020 +0000,13 days 23:43:20
5795,Helsinki-NLP/opus-mt-fi-hu,2020-04-29,Wed May 13 12:38:51 2020 +0000,14 days 09:47:39
14204,Helsinki-NLP/opus-mt-lus-fi,2020-04-29,Wed May 13 12:39:17 2020 +0000,13 days 23:22:54
6624,Helsinki-NLP/opus-mt-fr-ho,2020-04-29,Wed May 13 12:38:59 2020 +0000,14 days 00:21:16
3347,Helsinki-NLP/opus-mt-eu-en,2020-04-29,Wed May 13 12:38:48 2020 +0000,14 days 09:56:28
7361,Helsinki-NLP/opus-mt-sv-mos,2020-04-29,Wed May 13 12:39:35 2020 +0000,13 days 22:32:35
13389,Helsinki-NLP/opus-mt-mh-es,2020-04-29,Wed May 13 12:39:19 2020 +0000,13 days 23:19:08
5821,Helsinki-NLP/opus-mt-pon-fr,2020-04-29,Wed May 13 12:39:24 2020 +0000,13 days 23:01:27
28261,Helsinki-NLP/opus-mt-guw-sv,2020-04-29,Wed May 13 12:39:06 2020 +0000,13 days 23:57:32
3293,Helsinki-NLP/opus-mt-fr-sv,2020-04-29,Wed May 13 12:39:02 2020 +0000,14 days 00:09:20
14123,Helsinki-NLP/opus-mt-fi-toi,2020-04-29,Wed May 13 12:38:55 2020 +0000,14 days 00:32:25
27368,Helsinki-NLP/opus-mt-fr-tpi,2020-04-29,Wed May 13 12:39:03 2020 +0000,14 days 00:07:38
21549,Helsinki-NLP/opus-mt-ee-de,2020-04-29,Wed May 13 12:38:28 2020 +0000,14 days 11:02:45
3491,Helsinki-NLP/opus-mt-lua-fi,2020-04-29,Wed May 13 12:39:16 2020 +0000,13 days 23:27:36
25084,Helsinki-NLP/opus-mt-en-lus,2020-04-29,Wed May 13 12:38:34 2020 +0000,14 days 10:41:20
18517,Helsinki-NLP/opus-mt-es-guw,2020-04-29,Wed May 13 12:38:42 2020 +0000,14 days 10:15:49
6679,Helsinki-NLP/opus-mt-fr-tum,2020-04-29,Wed May 13 12:39:03 2020 +0000,14 days 00:06:31
6692,Helsinki-NLP/opus-mt-sv-st,2020-04-29,Wed May 13 12:39:37 2020 +0000,13 days 22:25:35
13341,Helsinki-NLP/opus-mt-es-ase,2020-04-29,Wed May 13 12:38:40 2020 +0000,14 days 10:24:09
19850,Helsinki-NLP/opus-mt-en-pag,2020-04-29,Wed May 13 12:38:35 2020 +0000,14 days 10:36:38
7397,Helsinki-NLP/opus-mt-ase-en,2020-04-29,Wed May 13 12:38:17 2020 +0000,14 days 11:40:16
13366,Helsinki-NLP/opus-mt-hu-de,2020-04-29,Wed May 13 12:39:08 2020 +0000,13 days 23:51:24
19950,Helsinki-NLP/opus-mt-en-ee,2020-04-29,Wed May 13 12:38:31 2020 +0000,14 days 10:53:55
25224,Helsinki-NLP/opus-mt-en-ny,2020-04-29,Wed May 13 12:38:35 2020 +0000,14 days 10:37:25
12113,Helsinki-NLP/opus-mt-ln-fr,2020-04-29,Wed May 13 12:39:15 2020 +0000,13 days 23:31:22
3410,Helsinki-NLP/opus-mt-sg-sv,2020-04-29,Wed May 13 12:39:26 2020 +0000,13 days 22:55:07
1467,Helsinki-NLP/opus-mt-es-sl,2020-04-29,Wed May 13 12:38:45 2020 +0000,14 days 10:05:26
27423,Helsinki-NLP/opus-mt-fi-zne,2020-04-29,Wed May 13 12:38:56 2020 +0000,14 days 00:28:04
10259,Helsinki-NLP/opus-mt-es-to,2020-04-29,Wed May 13 12:38:46 2020 +0000,14 days 10:02:49
6646,Helsinki-NLP/opus-mt-guw-fr,2020-04-29,Wed May 13 12:39:06 2020 +0000,13 days 23:57:50
19937,Helsinki-NLP/opus-mt-fi-lg,2020-04-29,Wed May 13 12:38:52 2020 +0000,14 days 09:45:27
27417,Helsinki-NLP/opus-mt-en-ber,2020-04-29,Wed May 13 12:38:30 2020 +0000,14 days 10:57:16
10195,Helsinki-NLP/opus-mt-iso-en,2020-04-29,Wed May 13 12:39:11 2020 +0000,13 days 23:43:57
9171,Helsinki-NLP/opus-mt-en-nyk,2020-04-29,Wed May 13 12:38:35 2020 +0000,14 days 10:37:09
13314,Helsinki-NLP/opus-mt-sv-ase,2020-04-29,Wed May 13 12:39:30 2020 +0000,13 days 22:46:49
18546,Helsinki-NLP/opus-mt-fse-fi,2020-04-29,Wed May 13 12:39:04 2020 +0000,14 days 00:03:24
5670,Helsinki-NLP/opus-mt-fr-ber,2020-04-29,Wed May 13 12:38:57 2020 +0000,14 days 00:26:26
15564,Helsinki-NLP/opus-mt-gil-fr,2020-04-29,Wed May 13 12:39:05 2020 +0000,13 days 23:59:39
10173,Helsinki-NLP/opus-mt-en-rw,2020-04-29,Wed May 13 12:38:36 2020 +0000,14 days 10:34:00
1503,Helsinki-NLP/opus-mt-fi-mos,2020-04-29,Wed May 13 12:38:53 2020 +0000,14 days 09:42:36
14211,Helsinki-NLP/opus-mt-sv-pon,2020-04-29,Wed May 13 12:39:36 2020 +0000,13 days 22:29:25
30102,Helsinki-NLP/opus-mt-et-fr,2020-04-29,Wed May 13 12:38:48 2020 +0000,14 days 09:57:30
14208,Helsinki-NLP/opus-mt-fi-ln,2020-04-29,Wed May 13 12:38:52 2020 +0000,14 days 09:45:15
27209,Helsinki-NLP/opus-mt-mt-sv,2020-04-29,Wed May 13 12:39:20 2020 +0000,13 days 23:15:26
5749,Helsinki-NLP/opus-mt-de-ig,2020-04-29,Wed May 13 12:38:27 2020 +0000,14 days 11:09:49
7396,Helsinki-NLP/opus-mt-sv-fi,2020-04-29,Wed May 13 12:39:32 2020 +0000,13 days 22:41:48
21434,Helsinki-NLP/opus-mt-sv-bg,2020-04-29,Wed May 13 12:39:31 2020 +0000,13 days 22:45:44
2097,Helsinki-NLP/opus-mt-ml-en,2020-04-29,Wed May 13 12:39:19 2020 +0000,13 days 23:17:17
9991,Helsinki-NLP/opus-mt-fj-en,2020-04-29,Wed May 13 12:38:56 2020 +0000,14 days 00:27:48
15714,Helsinki-NLP/opus-mt-fr-rw,2020-04-29,Wed May 13 12:39:02 2020 +0000,14 days 00:11:39
7421,Helsinki-NLP/opus-mt-de-pag,2020-04-29,Wed May 13 12:38:28 2020 +0000,14 days 11:04:42
9215,Helsinki-NLP/opus-mt-bcl-de,2020-04-29,Wed May 13 12:38:17 2020 +0000,14 days 11:38:56
3458,Helsinki-NLP/opus-mt-fr-hr,2020-04-29,Wed May 13 12:38:59 2020 +0000,14 days 00:20:48
15739,Helsinki-NLP/opus-mt-ber-en,2020-04-29,Wed May 13 12:38:19 2020 +0000,14 days 11:35:33
15744,Helsinki-NLP/opus-mt-hil-en,2020-04-29,Wed May 13 12:39:07 2020 +0000,13 days 23:54:43
30689,Helsinki-NLP/opus-mt-fr-loz,2020-04-29,Wed May 13 12:39:00 2020 +0000,14 days 00:17:06
15746,Helsinki-NLP/opus-mt-ro-fi,2020-04-29,Wed May 13 12:39:24 2020 +0000,13 days 23:00:00
14093,Helsinki-NLP/opus-mt-ga-en,2020-04-29,Wed May 13 12:39:05 2020 +0000,14 days 00:01:13
14084,Helsinki-NLP/opus-mt-sv-hil,2020-04-29,Wed May 13 12:39:33 2020 +0000,13 days 22:39:21
5675,Helsinki-NLP/opus-mt-es-af,2020-04-29,Wed May 13 12:38:40 2020 +0000,14 days 10:24:25
23061,Helsinki-NLP/opus-mt-en-kwn,2020-04-29,Wed May 13 12:38:33 2020 +0000,14 days 10:44:39
9218,Helsinki-NLP/opus-mt-sk-en,2020-04-29,Wed May 13 12:39:26 2020 +0000,13 days 22:54:54
5192,Helsinki-NLP/opus-mt-es-bcl,2020-04-29,Wed May 13 12:38:40 2020 +0000,14 days 10:23:56
27223,Helsinki-NLP/opus-mt-rw-en,2020-04-29,Wed May 13 12:39:25 2020 +0000,13 days 22:57:19
22334,Helsinki-NLP/opus-mt-fi-lua,2020-04-29,Wed May 13 12:38:52 2020 +0000,14 days 09:44:38
9142,Helsinki-NLP/opus-mt-fr-ve,2020-04-29,Wed May 13 12:39:04 2020 +0000,14 days 00:05:19
21597,Helsinki-NLP/opus-mt-ro-sv,2020-04-29,Wed May 13 12:39:24 2020 +0000,13 days 22:59:30
28443,Helsinki-NLP/opus-mt-fr-yo,2020-04-29,Wed May 13 12:39:04 2020 +0000,14 days 00:03:50
29331,Helsinki-NLP/opus-mt-de-bzs,2020-04-29,Wed May 13 12:38:24 2020 +0000,14 days 11:18:05
13287,Helsinki-NLP/opus-mt-fr-pis,2020-04-29,Wed May 13 12:39:01 2020 +0000,14 days 00:13:38
28447,Helsinki-NLP/opus-mt-de-nso,2020-04-29,Wed May 13 12:38:27 2020 +0000,14 days 11:05:28
12621,Helsinki-NLP/opus-mt-es-ro,2020-04-29,Wed May 13 12:38:45 2020 +0000,14 days 10:06:31
9137,Helsinki-NLP/opus-mt-guw-fi,2020-04-29,Wed May 13 12:39:06 2020 +0000,13 days 23:58:06
15841,Helsinki-NLP/opus-mt-gil-es,2020-04-29,Wed May 13 12:39:05 2020 +0000,14 days 00:00:42
25017,Helsinki-NLP/opus-mt-da-de,2020-04-29,Wed May 13 12:38:23 2020 +0000,14 days 11:21:28
23140,Helsinki-NLP/opus-mt-hr-es,2020-04-29,Wed May 13 12:39:07 2020 +0000,13 days 23:53:57
24859,Helsinki-NLP/opus-mt-ru-es,2020-04-29,Wed May 13 12:39:24 2020 +0000,13 days 22:58:59
22975,Helsinki-NLP/opus-mt-sv-lus,2020-04-29,Wed May 13 12:39:35 2020 +0000,13 days 22:33:52
24738,Helsinki-NLP/opus-mt-es-aed,2020-04-29,Wed May 13 12:38:40 2020 +0000,14 days 10:24:37
9013,Helsinki-NLP/opus-mt-fi-pis,2020-04-29,Wed May 13 12:38:53 2020 +0000,14 days 09:40:24
13188,Helsinki-NLP/opus-mt-id-fi,2020-04-29,Wed May 13 12:39:09 2020 +0000,13 days 23:49:17
8994,Helsinki-NLP/opus-mt-fi-lv,2020-04-29,Wed May 13 12:38:52 2020 +0000,14 days 09:43:51
16078,Helsinki-NLP/opus-mt-de-pl,2020-04-29,Wed May 13 12:38:28 2020 +0000,14 days 11:03:34
16094,Helsinki-NLP/opus-mt-pap-de,2020-04-29,Wed May 13 12:39:22 2020 +0000,13 days 23:06:18
21843,Helsinki-NLP/opus-mt-en-chk,2020-04-29,Wed May 13 12:38:30 2020 +0000,14 days 10:55:26
8966,Helsinki-NLP/opus-mt-lue-fi,2020-04-29,Wed May 13 12:39:17 2020 +0000,13 days 23:26:07
21849,Helsinki-NLP/opus-mt-ca-en,2020-04-29,Wed May 13 12:38:21 2020 +0000,14 days 11:30:21
16116,Helsinki-NLP/opus-mt-bem-es,2020-04-29,Wed May 13 12:38:18 2020 +0000,14 days 11:36:57
28439,Helsinki-NLP/opus-mt-en-ng,2020-04-29,Wed May 13 12:38:35 2020 +0000,14 days 10:38:36
21854,Helsinki-NLP/opus-mt-gaa-en,2020-04-29,Wed May 13 12:39:05 2020 +0000,14 days 00:02:51
10754,Helsinki-NLP/opus-mt-sq-es,2020-04-29,Wed May 13 12:39:28 2020 +0000,13 days 22:50:30
7477,Helsinki-NLP/opus-mt-hu-en,2020-04-29,Wed May 13 12:39:08 2020 +0000,13 days 23:51:10
17412,Helsinki-NLP/opus-mt-fr-lua,2020-04-29,Wed May 13 12:39:00 2020 +0000,14 days 00:16:33
24893,Helsinki-NLP/opus-mt-fi-sm,2020-04-29,Wed May 13 12:38:54 2020 +0000,14 days 00:35:35
24887,Helsinki-NLP/opus-mt-de-ho,2020-04-29,Wed May 13 12:38:26 2020 +0000,14 days 11:10:54
5569,Helsinki-NLP/opus-mt-fr-sn,2020-04-29,Wed May 13 12:39:02 2020 +0000,14 days 00:10:06
11380,Helsinki-NLP/opus-mt-sv-fr,2020-04-29,Wed May 13 12:39:32 2020 +0000,13 days 22:41:13
29367,Helsinki-NLP/opus-mt-en-crs,2020-04-29,Wed May 13 12:38:30 2020 +0000,14 days 10:55:14
11379,Helsinki-NLP/opus-mt-fi-fr,2020-04-29,Wed May 13 12:38:50 2020 +0000,14 days 09:50:54
9136,Helsinki-NLP/opus-mt-kwy-sv,2020-04-29,Wed May 13 12:39:14 2020 +0000,13 days 23:34:14
15959,Helsinki-NLP/opus-mt-sv-gaa,2020-04-29,Wed May 13 12:39:32 2020 +0000,13 days 22:40:49
5614,Helsinki-NLP/opus-mt-et-fi,2020-04-29,Wed May 13 12:38:48 2020 +0000,14 days 09:57:51
23029,Helsinki-NLP/opus-mt-ig-en,2020-04-29,Wed May 13 12:39:09 2020 +0000,13 days 23:48:07
21570,Helsinki-NLP/opus-mt-pl-sv,2020-04-29,Wed May 13 12:39:23 2020 +0000,13 days 23:02:26
21571,Helsinki-NLP/opus-mt-en-ha,2020-04-29,Wed May 13 12:38:32 2020 +0000,14 days 10:49:03
4746,Helsinki-NLP/opus-mt-sv-ho,2020-04-29,Wed May 13 12:39:33 2020 +0000,13 days 22:39:08
8196,Helsinki-NLP/opus-mt-sv-lua,2020-04-29,Wed May 13 12:39:34 2020 +0000,13 days 22:34:26
15795,Helsinki-NLP/opus-mt-fr-run,2020-04-29,Wed May 13 12:39:02 2020 +0000,14 days 00:11:53
15806,Helsinki-NLP/opus-mt-et-sv,2020-04-29,Wed May 13 12:38:48 2020 +0000,14 days 09:56:46
13304,Helsinki-NLP/opus-mt-mk-fr,2020-04-29,Wed May 13 12:39:19 2020 +0000,13 days 23:17:34
8204,Helsinki-NLP/opus-mt-bzs-es,2020-04-29,Wed May 13 12:38:20 2020 +0000,14 days 11:31:41
827,Helsinki-NLP/opus-mt-es-eo,2020-04-29,Wed May 13 12:38:41 2020 +0000,14 days 10:18:52
18508,Helsinki-NLP/opus-mt-sm-es,2020-04-29,Wed May 13 12:39:27 2020 +0000,13 days 22:52:26
432,Helsinki-NLP/opus-mt-ja-fr,2020-04-29,Wed May 13 12:39:12 2020 +0000,13 days 23:40:14
23040,Helsinki-NLP/opus-mt-pag-en,2020-04-29,Wed May 13 12:39:22 2020 +0000,13 days 23:07:15
18498,Helsinki-NLP/opus-mt-hy-en,2020-04-29,Wed May 13 12:39:09 2020 +0000,13 days 23:50:00
24909,Helsinki-NLP/opus-mt-mt-es,2020-04-29,Wed May 13 12:39:20 2020 +0000,13 days 23:16:15
24675,Helsinki-NLP/opus-mt-en-ca,2020-04-29,Wed May 13 12:38:30 2020 +0000,14 days 10:56:03
24668,Helsinki-NLP/opus-mt-et-en,2020-04-29,Wed May 13 12:38:48 2020 +0000,14 days 09:58:17
1303,Helsinki-NLP/opus-mt-es-he,2020-04-29,Wed May 13 12:38:42 2020 +0000,14 days 10:15:19
24817,Helsinki-NLP/opus-mt-crs-sv,2020-04-29,Wed May 13 12:38:22 2020 +0000,14 days 11:24:26
28542,Helsinki-NLP/opus-mt-es-lus,2020-04-29,Wed May 13 12:38:44 2020 +0000,14 days 10:10:57
5527,Helsinki-NLP/opus-mt-da-fi,2020-04-29,Wed May 13 12:38:23 2020 +0000,14 days 11:20:18
22959,Helsinki-NLP/opus-mt-sv-ro,2020-04-29,Wed May 13 12:39:36 2020 +0000,13 days 22:28:55
9039,Helsinki-NLP/opus-mt-ha-fr,2020-04-29,Wed May 13 12:39:07 2020 +0000,13 days 23:56:21
477,Helsinki-NLP/opus-mt-sv-ig,2020-04-29,Wed May 13 12:39:34 2020 +0000,13 days 22:37:35
16017,Helsinki-NLP/opus-mt-fr-ase,2020-04-29,Wed May 13 12:38:57 2020 +0000,14 days 00:27:09
24778,Helsinki-NLP/opus-mt-fi-niu,2020-04-29,Wed May 13 12:38:53 2020 +0000,14 days 09:41:50
22951,Helsinki-NLP/opus-mt-rnd-sv,2020-04-29,Wed May 13 12:39:24 2020 +0000,13 days 23:00:13
11143,Helsinki-NLP/opus-mt-fr-niu,2020-04-29,Wed May 13 12:39:01 2020 +0000,14 days 00:14:54
24757,Helsinki-NLP/opus-mt-fr-sk,2020-04-29,Wed May 13 12:39:02 2020 +0000,14 days 00:11:06
12664,Helsinki-NLP/opus-mt-cs-en,2020-04-29,Wed May 13 12:38:22 2020 +0000,14 days 11:23:48
28562,Helsinki-NLP/opus-mt-de-pis,2020-04-29,Wed May 13 12:38:28 2020 +0000,14 days 11:03:48
4805,Helsinki-NLP/opus-mt-run-es,2020-04-29,Wed May 13 12:39:25 2020 +0000,13 days 22:57:52
16387,Helsinki-NLP/opus-mt-en-uk,2020-04-29,Wed May 13 12:38:39 2020 +0000,14 days 10:27:12
5319,Helsinki-NLP/opus-mt-fi-es,2020-04-29,Wed May 13 12:38:50 2020 +0000,14 days 09:51:54
552,Helsinki-NLP/opus-mt-sv-ny,2020-04-29,Wed May 13 12:39:36 2020 +0000,13 days 22:30:29
4208,Helsinki-NLP/opus-mt-fr-lue,2020-04-29,Wed May 13 12:39:00 2020 +0000,14 days 00:16:17
23491,Helsinki-NLP/opus-mt-af-fr,2020-04-29,Wed May 13 12:38:17 2020 +0000,14 days 11:42:41
11244,Helsinki-NLP/opus-mt-de-hu,2020-04-29,Wed May 13 12:38:26 2020 +0000,14 days 11:10:07
23903,Helsinki-NLP/opus-mt-ja-sv,2020-04-29,Wed May 13 12:39:12 2020 +0000,13 days 23:39:39
23493,Helsinki-NLP/opus-mt-ilo-de,2020-04-29,Wed May 13 12:39:10 2020 +0000,13 days 23:46:36
21743,Helsinki-NLP/opus-mt-mg-en,2020-04-29,Wed May 13 12:39:18 2020 +0000,13 days 23:19:48
3724,Helsinki-NLP/opus-mt-es-is,2020-04-29,Wed May 13 12:38:43 2020 +0000,14 days 10:12:48
21741,Helsinki-NLP/opus-mt-kwy-fr,2020-04-29,Wed May 13 12:39:14 2020 +0000,13 days 23:34:28
29296,Helsinki-NLP/opus-mt-sl-fr,2020-04-29,Wed May 13 12:39:27 2020 +0000,13 days 22:53:19
3731,Helsinki-NLP/opus-mt-ht-fr,2020-04-29,Wed May 13 12:39:08 2020 +0000,13 days 23:51:57
13170,Helsinki-NLP/opus-mt-cs-fr,2020-04-29,Wed May 13 12:38:22 2020 +0000,14 days 11:22:35
21867,Helsinki-NLP/opus-mt-fi-mfe,2020-04-29,Wed May 13 12:38:52 2020 +0000,14 days 09:43:36
3743,Helsinki-NLP/opus-mt-en-ho,2020-04-29,Wed May 13 12:38:32 2020 +0000,14 days 10:48:17
16142,Helsinki-NLP/opus-mt-gaa-es,2020-04-29,Wed May 13 12:39:05 2020 +0000,14 days 00:02:31
8945,Helsinki-NLP/opus-mt-fr-ts,2020-04-29,Wed May 13 12:39:03 2020 +0000,14 days 00:06:46
5460,Helsinki-NLP/opus-mt-niu-fi,2020-04-29,Wed May 13 12:39:20 2020 +0000,13 days 23:13:47
12203,Helsinki-NLP/opus-mt-es-ilo,2020-04-29,Wed May 13 12:38:43 2020 +0000,14 days 10:13:04
1306,Helsinki-NLP/opus-mt-es-mk,2020-04-29,Wed May 13 12:38:44 2020 +0000,14 days 10:10:29
870,Helsinki-NLP/opus-mt-en-ti,2020-04-29,Wed May 13 12:38:37 2020 +0000,14 days 10:30:24
29880,Helsinki-NLP/opus-mt-sv-ln,2020-04-29,Wed May 13 12:39:34 2020 +0000,13 days 22:35:17
24746,Helsinki-NLP/opus-mt-es-tn,2020-04-29,Wed May 13 12:38:46 2020 +0000,14 days 10:03:31
17456,Helsinki-NLP/opus-mt-fi-ht,2020-04-29,Wed May 13 12:38:51 2020 +0000,14 days 09:47:55
16039,Helsinki-NLP/opus-mt-es-fj,2020-04-29,Wed May 13 12:38:42 2020 +0000,14 days 10:17:24
16035,Helsinki-NLP/opus-mt-fi-id,2020-04-29,Wed May 13 12:38:51 2020 +0000,14 days 09:47:26
11139,Helsinki-NLP/opus-mt-is-en,2020-04-29,Wed May 13 12:39:11 2020 +0000,13 days 23:45:00
12660,Helsinki-NLP/opus-mt-gaa-fr,2020-04-29,Wed May 13 12:39:05 2020 +0000,14 days 00:02:03
5555,Helsinki-NLP/opus-mt-es-sn,2020-04-29,Wed May 13 12:38:45 2020 +0000,14 days 10:04:50
7528,Helsinki-NLP/opus-mt-he-sv,2020-04-29,Wed May 13 12:39:07 2020 +0000,13 days 23:55:27
9058,Helsinki-NLP/opus-mt-ar-fr,2020-04-29,Wed May 13 12:38:17 2020 +0000,14 days 11:41:11
