Model,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
IDEA-CCNL/Wenzhong-GPT2-110M,,,,,,,,,190,59,115,35,140,255,144,114,158,407,257,1448,675,901,82,125,27,5
srcocotero/bert-large-qa,,,,,,,,,,,,,,,,,,,,1595,1492,60,23,1,1048,11
M-CLIP/XLM-Roberta-Large-Vit-B-16Plus,,,,,,,,,,21,3,47,399,382,265,14,892,141,128,472,1212,257,553,366,258,104
Laggrif/DialoGPT-medium-Luke,,,,,,,,,,,,,102,55,945,273,177,0,230,529,300,1150,1310,56,10,1
naver-clova-ix/donut-base-finetuned-docvqa,,,,,,,,,,,,,,,,5,59,618,266,321,352,167,179,443,272,173
hf-internal-testing/tiny-vilt-random-vqa,,,,,,,,,,13,19,433,567,0,469,395,510,444,681,644,163,56,132,203,203,66
bigscience/bloom-1b1,,,,,,,,,,,,,,,,,,,,774,681,197,446,484,139,137
huggingtweets/arstechnica,,,,,,,,,,,,,7,0,0,0,0,212,1256,603,509,138,225,564,245,28
impira/layoutlm-document-qa,,,,,,,,,,,,,,,,,,,,89,10,20,362,1283,502,241
google/ddpm-celebahq-256,,,,,,,,,,,,,,,,,69,147,55,81,113,273,327,548,323,86
yanekyuk/bert-uncased-keyword-extractor,,,,,,,,,,2,47,65,46,0,99,40,17,22,26,29,1692,417,343,509,516,125
TencentGameMate/chinese-wav2vec2-large,,,,,,,,,,100,122,254,31,167,26,239,116,72,57,166,443,483,303,142,52,16
IDEA-CCNL/Wenzhong2.0-GPT2-3.5B-chinese,,,,,,,,,,,,,,,134,177,97,223,182,639,1295,325,405,247,176,59
microsoft/layoutlmv3-base-chinese,,,,,,,,,,,,105,140,0,174,75,154,178,135,244,164,103,139,180,88,116
TencentGameMate/chinese-hubert-base,,,,,,,,,,77,235,105,33,82,298,304,226,86,67,52,36,69,152,223,13,3
allenai/tk-instruct-base-def-pos,,,,,,,,34,49,1408,686,874,1274,1309,326,64,151,410,204,156,16,188,191,196,670,79
diwank/bartner,,,,,,,,,,,,,,,,,,117,768,433,371,78,142,382,222,99
debyve/dumbbot,,,,,,,,,,,,,,,,239,764,612,373,186,219,418,23,21,,
inywer/shouko0-3,,,,,,,,,,,,,,,,376,1063,301,434,116,133,157,,,,
deepset/deberta-v3-large-squad2,,,,,,,,,,,,,,,,,,155,479,267,325,106,108,281,452,45
nlp-waseda/roberta-large-japanese-seq512,,,,,,,,,,,,263,341,0,6,32,109,112,133,194,294,107,166,227,104,31
JamesStratford/Pidrow-bot-DialoGPT-Large,,,,,,,,,,,,,,,1200,177,467,1085,211,141,259,294,353,298,162,20
naver-clova-ix/donut-base-finetuned-rvlcdip,,,,,,,,,,,,,,,3,5,8,14,13,707,391,17,90,56,79,51
speechbrain/m-ctc-t-large,,,,,,,,,43,5,106,1610,308,0,144,145,165,274,159,55,28,13,143,109,117,8
apple/mobilevit-small,,,,,,,,,,8,16,26,3,23,132,92,65,374,46,85,83,26,233,239,120,100
shibing624/mengzi-t5-base-chinese-correction,,,,,,,,,,,,16,270,0,129,169,164,186,101,95,314,86,45,77,71,18
patrickramosobf/bert-base-japanese-v2-wrime-fine-tune,,,,,,,,28,7,3,3,3,6,0,34,29,65,632,3,344,25,14,13,26114,40,4
apple/deeplabv3-mobilevit-small,,,,,,,,,,12,15,16,11,9,98,44,55,53,59,237,379,158,146,204,166,18
Salesforce/codet5-large-ntp-py,,,,,,,,,,,,,,,70,174,114,89,148,764,345,218,185,128,39,28
KoboldAI/GPT-Neo-1.3B-Ramsay,,,,,,,,,,,,,,,,,,,,94,51,11,36,1179,62,19
TencentGameMate/chinese-hubert-large,,,,,,,,,,72,182,92,70,18,11,111,13,5,35,102,60,93,98,197,303,14
BM-K/KoSimCSE-bert-multitask,,,,,,,,,,4,0,0,0,0,189,330,250,64,89,122,4,17,1,142,85,2
facebook/nllb-200-1.3B,,,,,,,,,,,,,,,,94,162,159,274,171,111,28,360,150,39,12
csebuetnlp/banglat5,,,,,,,,,58,43,11,31,17,133,264,65,52,55,38,333,282,70,53,84,72,1
eleldar/language-detection,,,,,,,,,74,28,7,3240,7,69,93,129,91,33,25,19,52,19,313,265,135,15
seeksery/DialoGPT-calig3,,,,,,,,,,,,,,,,,,568,645,292,222,49,127,277,130,18
hireddivas/dialoGPT-small-sonic2,,,,,,,,,,770,286,412,154,0,377,207,1282,662,263,183,13,0,4,192,198,15
google/owlvit-large-patch14,,,,,,,,,,,,,,,,,2,0,22,140,68,22,271,1172,417,136
StanfordAIMI/stanford-deidentifier-base,,,,,,,,,,,,,12,3,0,12,231,23,44,180,17,26,176,415,1232,548
JamesStratford/PLord-bot-DialoGPT-medium,,,,,,,,,,,,,,,535,120,333,486,154,99,156,354,307,222,130,4
google/ddpm-cifar10-32,,,,,,,,,,,,,,,,,64,90,38,38,60,28,322,518,317,103
Averium/FabioBot,,,,,,,,,,,,,194,228,230,5,94,233,179,75,145,155,191,282,191,
NlpHUST/gpt2-vietnamese,,,,,,,,,,129,56,149,84,30,88,66,102,90,147,83,151,121,92,39,75,26
douwekiela/resnet-18-finetuned-dogfood,,,,,,,,,,,,,,3,163,53,296,230,85,52,213,198,197,102,79,6
