Model,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z
clips/mfaq,,,29,86,84,110,161,75,114,63,99,74,176,0,50,70,75,7111,12564,139,149,123,194,292,90,140,86,108,232,126,200,145,70,146,94,183,152,110,97,106,5040,784,325,963,656,194,544,9453,184,121,9769,76,74
aubmindlab/bert-base-arabertv02-twitter,,,,,,7,10,32,71,63,110,74,131,1,295,443,224,172,93,108,132,86,294,479,392,398,525,386,400,1529,787,320,367,695,200,385,458,415,448,230,302,664,771,1749,505,189,122,710,371,258,438,370,196
sentence-transformers/msmarco-distilbert-cos-v5,5,27,21,34,143,238,844,152,252,146,128,218,215,0,373,343,770,60,164,239,668,281,387,629,291,631,311,149,401,312,408,304,565,218,607,545,2220,484,1236,964,626,3065,960,0,435,276,307,246,284,163,1456,169,372
p-christ/12412fsasf,,,,,,,,,,,,,,,,,,,,,,190,569,713,670,619,510,535,578,529,585,413,472,439,554,561,366,393,518,438,366,562,457,0,584,747,750,772,941,781,724,259,204
microsoft/trocr-large-printed,,,,,,,,7,106,130,84,59,56,0,30,78,45,83,94,140,39,17,100,179,65,88,110,176,151,293,312,656,476,912,2424,471,245,165,106,169,162,153,119,0,107,239,307,253,410,711,11802,515,44
hiiamsid/sentence_similarity_spanish_es,,,,4,35,41,2238,179,71,30,69,30,19,0,99,132,69,94,187,156,300,331,594,831,320,219,1494,1972,488,362,359,419,120,186,140,606,170,652,315,196,117,383,10517,0,189,2363,701,120,105,75,97,25,51
gogamza/kobart-base-v1,,,,,,,4,2,5,73,73,515,323,1,1675,647,240,227,269,557,321,142,106,602,459,268,305,203,621,843,376,281,247,172,181,204,185,67,219,227,115,215,288,0,542,555,616,430,514,507,472,256,145
Langboat/mengzi-t5-base,,,,,,3,12,384,383,259,588,555,305,0,458,192,476,117,389,246,527,250,90,305,434,265,202,210,450,778,800,221,377,464,221,219,380,499,420,46,349,128,320,348,404,392,234,429,707,277,476,459,307
AI-Growth-Lab/PatentSBERTa,,,,,,,4,25,8,13,9,49,18,0,23,3,4,2,6,17,29,1,20,6,31,54,128,132,59,202,246,270,585,1030,1046,483,6046,3716,1026,1246,1066,1105,239,176,1716,73,365,316,222,222,39,159,62
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,,,,,,,,,,,45,29,781,4,425,186,173,60,207,468,102,55,264,355,936,220,835,602,364,463,822,572,909,227,1052,827,909,275,116,238,292,362,8444,3774,626,5520,1017,142,166,222,66,114,35
microsoft/beit-base-patch16-224-pt22k,667,88,85,1364,141,294,93,698,238,772,423,630,74,0,83,51,163,36,430,190,131,57,81,77,768,271,172,1973,987,566,391,203,214,308,468,345,495,437,345,979,513,168,200,0,248,778,409,264,468,279,219,85,119
GroNLP/hateBERT,12,7,37,15,134,189,116,72,133,89,38,205,496,0,556,417,451,460,255,564,614,434,733,440,114,290,131,100,47,100,91,133,196,481,350,38,51,96,294,1917,117,194,148,83,117,84,124,336,239,791,170,402,207
Harveenchadha/vakyansh-wav2vec2-hindi-him-4200,72,186,221,126,26,116,16,34,77,16,44,102,37,0,241,261,466,339,251,34393,336,71,183,204,130,77,63,1408,3779,5955,1800,1152,217,237,80,68,133,68,74,22,152,285,2065,5666,4404,226,504,122,130,142,255,110,21
