Model,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z
slauw87/bart_summarisation,,,,30,10,11,11,90,86,106,53,12,56,0,146,50,71,20,102,36,39,6,27,101,123,90,57,161,61,162,558,118,276,432,532,300,385,1005,419,96,153,92,111,0,325,117,217,132,89,81,121,61,24
CAUKiel/JavaBERT,68,6,29,0,7,0,0,14,7,0,0,6,6,0,0,1,16,5,5,34,0,11,11,23,0,2,5,1,5,6,11,8,5,10,41,10,49,58,20,126,39,106,40,55,6,4,5,5854,3074,16280,19175,33,6850
microsoft/layoutlmv2-large-uncased,24,156,51,107,150,102,91,35,23,6,65,138,288,2,78,27,23,63,34,346,123,20,96,145,135,77,164,42,32,52,133,132,180,210,178,239,75,92,50,41,16,133,20,0,157,231,105,141,147,185,108,66,70
PlanTL-GOB-ES/gpt2-large-bne,,,,,,,,75,12,26,1442,1219,556,12,525,284,225,53,113,173,189,25,164,119,62,95,28,109,84,66,102,230,67,327,84,149,243,160,52,29,60,42,47,43,14,47,189,24,153,119,388,67,22
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,,,,,,,,18,7,16,22,103,52,0,36,9,43,21,4,53,34,45,34,114,31,181,34,54,571,148,44,96,96,116,91,257,314,326,191,63,318,228,604,449,174,154,94,209,87,85,51,20,44
facebook/wav2vec2-xls-r-1b,,,,,,,,,,,49,556,1165,0,134,371,96,19,84,53,78,206,794,166,136,129,138,150,735,129,99,57,71,70,90,36,233,118,139,221,219,189,90,120,58,38,178,90,55,993,47,37,16
jsylee/scibert_scivocab_uncased-finetuned-ner,,,,,,,,,,,,66,49,0,33,47,2,0,66,63,12,474,177,233,185,211,297,234,244,255,198,317,163,139,177,156,183,105,160,89,29,50,2562,0,58,118,49,77,77,63,64,107,289
MaryaAI/opus-mt-en-ar-finetuned-Math-13-10-en-to-ar,,,,,,,24,0,0,0,0,0,0,0,0,0,0,12,0,2,1,0,4,246,79,61,155,170,266,258,532,145,145,105,52,205,362,127,93,57,80,44,358,338,107,68,98,146,73,39,71,24,22
nvidia/segformer-b5-finetuned-ade-640-640,,,,,,,,,,,9,37,0,0,116,0,6,3,4,11,17,16,4,15,153,47,507,263,255,428,143,98,242,213,498,290,224,125,142,212,203,198,236,0,204,252,380,339,156,587,391,187,70
UBC-NLP/MARBERTv2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,76,159,101,35,0,0,113,453,192,98,52,62,18,50,29,79,146,16,125,63,96,149,35,107,59,159,1505,332,2219,478,141
Edresson/wav2vec2-large-xlsr-coraa-portuguese,,,,,,,,,,,,70,32,0,18,130,25,11,20,68,104,53,196,93,76,210,102,69,89,40,95,111,110,64,66,68,49,82,75,21,103,25,242,200,409,219,95,239,214,139,297,179,89
svalabs/gbert-large-zeroshot-nli,,,,,,,23,136,34,5,10,0,0,0,14,15,74,8,71,42,37,21,69,117,106,35,33,17,73,58,23,38,14,37,42,403,2319,1508,442,82,119,215,27,0,112,6,61,31,91,163,124,90,47
nvidia/mit-b2,,,,,,,,,,,,,,,,4,0,1,2,8,7,0,48,4,5,410,435,65,47,47,47,16,79,49,113,32,40,179,8,112,63,72,100,0,107,107,32,370,578,415,673,213,231
shahrukhx01/roberta-base-boolq,,6,3,1,7,12,56,19,60,52,40,24,1088,0,186,45,25,27,0,18,9,1,8,21,7,12,12,18,14,50,100,175,66,359,20,73,122,97,188,337,163,118,124,0,267,199,200,177,1722,290,80,114,223
PlanTL-GOB-ES/roberta-large-bne-sqac,,,,,,,,33,5,7,74,53,7,0,54,23,22,16,23,8,56,11,94,182,47,64,105,20,9,17,133,33,20,54,19,39,77,171,152,188,122,113,137,507,195,128,457,233,245,176,188,113,60
nvidia/segformer-b5-finetuned-cityscapes-1024-1024,,,,,,,,2,0,14,1,27,1,0,14,1,9,1,2,4,1,0,5,2,3,44,14,6,10,17,24,177,70,240,83,45,146,178,520,171,54,133,41,0,348,267,209,514,308,379,441,155,93
Kryptone/monikAI,160,72,60,0,63,34,0,0,136,183,167,41,13,0,26,5,10,23,42,22,15,5,43,5,24,147,123,118,135,59,50,206,153,147,159,132,112,136,805,1319,338,529,15,28,65,36,42,60,43,45,57,79,46
sentence-transformers/all-MiniLM-L6-v1,34,21,22,23,13,12,181,49,14,30,149,43,107,0,52,41,83,5,18,17,93,8,75,71,50,37,47,59,48,80,98,135,179,65,47,56,43,71,51,450,12,16,41,0,115,48,328,840,613,142,189,62,214
aubmindlab/bert-large-arabertv02-twitter,,,,,,,50,10,16,49,60,13,0,0,43,27,150,135,32,92,18,11,70,34,35,726,87,108,187,172,343,33,103,54,21,115,67,11,16,9,28,76,40,128,7,15,23,75,64,180,16,161,55
Kryptone/monikAI-Unstable,,137,60,0,6,7,0,103,100,204,115,0,0,0,8,35,45,2,0,1,20,28,70,101,81,85,97,102,83,48,117,183,161,165,114,135,102,62,848,1281,359,853,476,10,42,50,50,68,31,47,48,79,35
tscholak/1zha5ono,,,,,,,,,,,1,10,32,0,50,28,7,153,117,282,66,14,1,35,35,10,10,207,113,92,75,125,85,57,19,101,675,159,115,49,143,77,56,0,111,59,22,330,320,597,60,87,38
pysentimiento/bertweet-hate-speech,,,,,,,,,,,,,,,193,34,73,9,103,621,117,65,96,40,61,113,57,94,71,65,133,91,92,190,109,82,65,206,184,91,130,35,127,0,194,61,92,56,149,224,47,38,8
anton-l/wav2vec2-base-ft-keyword-spotting,,,,,,,,,5,0,0,0,0,0,8,0,4,0,0,4,7,1,394,86,88,149,203,191,139,156,273,92,30,57,22,24,11,43,46,3,6,36,347,289,106,91,82,88,24,38,124,338,63
nvidia/mit-b1,,,,,,,,,,,,,,,8,14,0,2,6,1,8,1,17,40,3,42,14,25,12,11,80,32,87,12,109,53,153,166,223,32,90,103,91,0,310,1045,507,245,418,250,273,114,160
Wikidepia/IndoT5-base-paraphrase,39,6,0,21,11,27,31,10,16,12,6,15,22,0,13,3,8,1,5,2,0,0,0,4,12,0,1,5,2,2,32,2,6,54,44,0,14,58,99,36,36,55,129,90,139,51,85,118,54,65,169,905,484
kamalkraj/deberta-base,53,43,46,68,51,49,51,61,116,91,67,48,49,1,38,52,47,40,78,93,50,26,82,80,56,58,59,69,59,32,75,43,47,36,28,17,105,57,83,43,36,53,53,0,124,98,91,114,84,92,28,3,
codeparrot/codeparrot-small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,463,176,167,407,160,375,303,896,401,87
sentence-transformers/multi-qa-distilbert-dot-v1,4,9,10,21,5,11,127,37,4,68,6,81,24,0,462,44,15,204,150,70,28,44,50,69,174,175,89,65,35,35,75,138,38,63,86,106,97,79,145,64,176,279,86,0,16,8,30,30,22,57,8,3,25
deepmind/vision-perceiver-conv,,,,,,,,,,,,,,,102,135,85,74,48,70,38,15,45,70,65,44,74,94,87,73,123,58,48,41,68,335,756,104,59,84,74,125,81,81,58,165,169,125,113,82,28,7,14
uer/t5-v1_1-base-chinese-cluecorpussmall,24,9,23,67,20,37,26,23,80,57,70,22,43,0,3,40,86,30,78,29,27,3,0,20,11,29,53,24,13,49,21,118,127,125,103,99,74,292,212,118,55,36,110,0,66,15,101,294,130,74,162,130,40
jhu-clsp/bibert-ende,,39,41,43,49,1,9,7,11,21,21,31,9,0,2,12,49,36,138,74,10,42,325,281,408,203,10,61,61,95,341,304,236,20,0,131,31,5,32,61,50,95,11,0,45,469,445,336,43,109,27,35,269
akdeniz27/roberta-base-cuad,,,,,,,,,,,71,126,148,0,230,50,47,17,58,81,28,20,88,186,64,99,52,85,22,49,113,154,105,81,170,69,50,45,260,71,51,243,32,34,61,63,130,47,40,165,225,318,21
DaNLP/da-bert-emotion-binary,8,37,0,1,0,2,7,8,0,31,91,34,94,0,64,100,10,224,12,29,43,164,57,10,27,48,136,133,44,17,19,290,68,115,139,31,8,34,33,20,34,185,36,104,35,30,12,22,105,31,13,5,1
google/t5-xxl-lm-adapt,,,,,,,,,,26,27,147,60,32,67,4,41,188,110,58,23,18,123,98,14,15,1270,16,9,719,401,314,4246,31,162,49,2,1639,168,1236,226,59,23,0,134,139,641,237,777,1600,358,182,271
IDEA-CCNL/Erlangshen-MegatronBert-1.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,121,24,26,190,48,73,27,128,52,239,181,138,353,255,289,66,166,116,132,124
ttop324/wav2vec2-live-japanese,,,,,,,,,12,1,61,204,110,0,187,279,165,10,117,160,64,19,30,176,44,36,4,1,2,9,36,9,6,11,43,15,56,118,40,27,54,31,20,0,110,180,155,100,45,50,68,80,7
DaNLP/da-bert-tone-subjective-objective,2,21,6,13,1,6,0,7,0,45,87,6,2,0,0,53,1,224,0,12,47,148,64,10,5,24,120,107,56,18,8,286,50,111,156,18,18,38,30,25,47,186,24,88,20,22,4,15,70,13,2,6,
raynardj/ner-disease-ncbi-bionlp-bc5cdr-pubmed,,,,,,,,,,3,10,27,28,0,77,8,11,3,10,1,6,0,11,46,108,104,68,103,26,43,53,10,30,41,22,47,101,52,54,8,46,69,62,0,95,163,184,215,313,279,180,22,64
PlanTL-GOB-ES/roberta-base-bne-sqac,,,,,,,,9,16,5,20,31,11,0,58,59,53,9,1,15,161,149,406,114,42,124,44,36,45,151,316,48,53,135,253,62,59,54,47,6,24,38,22,20,7,26,56,141,48,23,40,79,38
UBC-NLP/AraT5-base,13,3,0,75,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,38,4,0,0,253,132,87,118,74,296,17,596,20,183,61,26,103,92,182,30,11,99,24,66,71,207,174,71
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,,,,,1,0,1,0,0,0,7,16,0,0,2,24,40,6,6,38,20,35,55,257,69,87,78,40,45,63,445,12,44,19,6,44,8,36,47,45,61,50,19,17,143,135,87,98,52,73,34,104,19
kamalkraj/deberta-v2-xlarge,34,45,47,47,44,43,43,43,53,45,58,40,49,0,39,48,42,38,29,41,51,28,34,52,46,41,54,43,36,30,69,32,72,30,59,22,30,32,43,39,46,40,48,0,66,36,50,105,57,23,1,14,
AmazonScience/qanlu,,,,,14,0,0,0,0,0,64,4,4,2,1182,51,37,71,63,16,32,40,55,79,34,66,25,80,66,35,54,14,45,25,35,22,54,34,134,89,56,82,13,35,54,67,178,27,107,1020,1881,878,6
CAMeL-Lab/bert-base-arabic-camelbert-da-pos-msa,,,,,,,,,,1,1,3,1,0,72,0,44,44,7,11,6,1,2,174,8,78,151,49,605,98,822,33,19,8,1568,36,211,85,12,27,10,34,113,115,46,2,30,12,17,27,27,7,9
nvidia/segformer-b4-finetuned-ade-512-512,,,,,,,,,,,,,,,12,1,29,1,3,4,3,0,2,0,0,17,23,9,65,98,36,74,86,47,50,126,131,181,323,84,139,215,107,0,253,1307,193,164,170,187,91,23,33
izumi-lab/bert-small-japanese-fin,,,,,,16,4,15,17,13,13,0,7,0,0,2,2,10,79,23,353,47,6,0,51,74,46,36,30,63,32,11,77,87,58,54,52,263,400,44,67,35,43,0,16,15,6,137,14,13,28,40,3
akdeniz27/bert-base-turkish-cased-ner,,202,45,76,21,32,30,15,71,166,118,22,75,0,58,59,58,15,67,7,39,19,27,58,55,4,10,90,5,18,20,165,85,13,88,27,56,6,8,22,22,57,70,7,2,6,12,29,180,5,15,8,
NDugar/ZSD-microsoft-v2xxlmnli,,,,,,,,,,245,162,216,175,4,32,73,29,11,10,18,8,4,28,24,21,7,15,15,33,18,22,9,9,10,14,11,24,151,154,85,110,25,54,46,35,26,19,86,49,33,10,28,11
lgris/wav2vec2-large-xlsr-open-brazilian-portuguese-v2,152,97,60,45,28,90,22,28,43,43,13,6,26,0,85,5,13,56,57,7,8,12,61,95,18,27,3,19,29,31,94,8,1,29,80,14,114,1,54,57,36,0,0,0,1,11,23,14,4,32,9,0,239
izumi-lab/electra-small-japanese-fin-generator,,,,,,27,13,1,18,0,7,0,5,0,0,0,0,0,0,1,0,0,0,12,0,0,6,5,0,33,83,0,0,5,0,1,2,10,0,0,0,3,0,0,0,1,0,0,4,0,0,31,1818
DaNLP/da-bert-hatespeech-detection,,,,,,,,,,,,31,46,0,6,7,2,1,0,11,5,1,41,16,5,13,143,82,24,24,28,56,108,27,92,1,1,32,62,80,103,154,74,95,12,18,6,7,145,118,68,0,45
microsoft/beit-base-patch16-384,4,136,2,110,106,221,66,11,46,32,14,47,16,0,55,47,23,6,10,17,5,2,15,1,1,29,64,17,53,38,20,11,5,26,25,21,1,8,66,36,13,58,30,0,32,150,18,18,104,155,113,38,51
mideind/IceBERT,118,137,92,202,103,59,82,16,0,0,0,0,0,0,5,32,66,5,15,4,24,0,0,2,0,8,12,17,7,27,11,3,12,11,27,6,0,19,8,7,3,1,0,0,21,29,7,0,5,5,81,1,
adviksinghania/DialoGPT-medium-rick,,42,9,0,0,0,0,131,140,0,11,0,0,0,108,48,0,0,10,0,38,36,91,99,53,0,78,66,76,44,79,87,96,65,93,85,89,112,96,88,84,30,57,56,45,51,70,43,28,49,33,54,32
PlanTL-GOB-ES/RoBERTalex,,,,,,,,29,15,14,95,28,9,0,12,29,42,16,8,16,45,6,58,106,39,21,16,41,7,31,18,15,12,25,26,18,62,42,63,9,0,27,54,130,72,46,106,83,79,20,68,25,12
izumi-lab/electra-small-japanese-fin-discriminator,,,,,,,3,2,6,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,20,0,1,5,0,65,84,2,2,0,1,0,3,17,305,0,11,0,0,0,1886,1,5,64,94,67,61,398,18
jegormeister/bert-base-dutch-cased-snli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,27,130,144,0,13,14,24,4,31,49,395,400,228
microsoft/beit-large-patch16-512,5,34,37,17,13,59,6,3,7,29,0,45,43,0,25,3,12,5,16,28,6,1,7,0,0,14,20,78,16,1,2,35,95,115,5,23,26,20,45,70,70,48,41,0,16,123,58,143,259,176,99,52,142
DaNLP/da-bert-ner,,,9,13,0,7,0,2,37,38,31,3,2,0,17,3,12,0,3,18,6,1,4,0,9,11,3,28,113,22,57,18,66,82,109,162,74,186,48,33,281,33,10,18,22,2,2,48,,,,,
kripanshudixit/DialoGPT-small-phoenix,22,22,24,0,6,0,0,55,65,0,0,0,5,0,0,0,52,2,0,0,0,25,91,93,59,56,89,68,79,45,76,114,109,69,132,64,76,117,92,70,85,45,33,0,28,72,80,54,34,48,34,17,44
akdeniz27/roberta-large-cuad,,,,,,,,,,,10,9,8,0,21,288,447,2,7,21,27,6,29,21,7,44,9,21,0,41,77,182,20,16,51,134,21,17,21,33,13,23,30,1,38,11,33,334,36,74,44,115,23
Geotrend/distilbert-base-zh-cased,34,4,28,8,10,15,13,58,31,28,17,15,2,0,16,14,62,10,12,11,9,1,0,18,6,17,9,23,27,21,18,42,44,39,58,60,30,56,173,21,32,32,17,146,13,26,3,16,6,14,8,31,23
oigele/Fb_improved_zeroshot,,,,,,,,,,,56,315,89,0,57,16,8,27,37,14,17,38,19,23,24,56,1,9,62,22,46,25,33,65,52,24,44,55,51,26,15,55,29,0,44,24,29,57,30,75,50,96,22
adalbertojunior/distilbert-portuguese-cased,2,17,2,5,1,0,2,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,16,39,14,44,28,31,29,21,62,8,29,38,8,16,26,36,65,13,38,20,185,58,50,131,63,42,60,64,5,35,22
MayankGupta/DialoGPT-small-harrypotter,35,0,0,0,0,0,0,11,51,0,0,0,5,0,91,20,0,0,0,8,52,40,97,2,0,0,4,77,79,53,61,103,99,85,88,80,78,150,80,64,79,63,45,36,47,70,72,41,32,53,31,76,36
chaitrabhat/DialoGPT-small-rick,,,,,,,,,,25,0,0,0,0,139,34,0,0,0,0,0,12,3,0,75,67,67,67,94,62,64,91,137,84,82,88,83,128,69,73,83,42,65,63,36,57,62,41,27,48,30,30,60
nvidia/segformer-b2-finetuned-cityscapes-1024-1024,,,,,,,,,,,,,,,,,,1,2,128,1,0,15,0,0,21,5,3,9,1,0,0,0,24,7,0,85,100,334,53,31,41,25,0,100,107,8,31,17,58,3,14,405
readerbench/jurBERT-base,,,,,7,1,1,1,1,0,0,1,0,0,0,0,106,7,2,8,4,1,0,336,122,132,37,21,27,10,5,20,4,465,45,2,17,1,9,3,12,3,64,0,6,17,12,4,11,45,1,0,174
CAMeL-Lab/bert-base-arabic-camelbert-mix-pos-msa,,,,,,,,,,,3,1,0,0,0,0,1,1,1,4,1,0,0,31,186,2,41,270,115,50,0,2,30,12,0,14,9,27,0,1,4,11,24,7,0,0,0,0,7,1,1197,2086,2
it5/it5-base-headline-generation,,,,,,,,,,,,,,,,,,,,,,,,,,,7,57,17,18,11,50,29,36,19,28,35,38,15,2,0,11,50,0,10,7,2,1,0,6,0,1763,490
dbmdz/convbert-base-turkish-mc4-cased,,,,1,15,13,4,5,22,12,0,2,3,0,7,4,2,4,54,43,22,2,72,43,4,8,11,8,67,4,10,10,5,16,13,3,3,7,2,9,1,7,4,5,2,39,12,31,55,88,25,30,39
JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,,,,,,53,24,11,7,18,16,14,27,0,77,9,9,1,0,17,0,2,6,11,11,10,10,17,7,33,26,1,9,3,10,8,9,7,2,62,30,4,11,10,0,0,3,61,29,23,31,544,232
Geotrend/distilbert-base-es-cased,0,0,4,5,15,0,13,14,7,5,0,3,53,0,36,13,8,13,7,12,7,0,24,0,9,35,13,21,1,1,37,3,25,1,3,2,0,0,0,0,12,7,1,0,0,1,14,15,224,56,44,20,
nvidia/segformer-b0-finetuned-cityscapes-768-768,,,,,,,,,,,,,1,0,0,0,0,1,2,7,9,30,19,4,1,18,17,6,10,16,10,0,11,5,72,14,22,12,34,48,10,15,3,0,17,4,27,186,31,10,0,18,9
raynardj/ner-gene-dna-rna-jnlpba-pubmed,,,,,,,,,,10,0,20,39,0,104,48,0,7,5,16,8,0,3,19,0,0,16,28,19,12,10,14,14,28,40,15,9,60,6,17,0,6,3,0,18,13,21,6,10,59,36,24,14
bespin-global/klue-bert-base-mrc,,,,,,,43,27,9,11,81,14,0,0,2,26,0,0,0,1,0,3,4,59,22,1,6,21,13,1,1,3,6,7,19,1,30,29,9,5,2,1,8,0,0,0,1,3,0,0,7,3,
gayanin/t5-small-mlm-pubmed,,,,,,,,,,,2580,0,8,0,0,6,0,0,0,1,0,0,0,0,0,1,0,2,6,5,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,
patrickvonplaten/distilhubert-timit,,,,,,,,,8,0,2,9,1,0,0,0,0,0,5,8,4,1,1,2,0,42,0,7,0,2,0,2,2,2,4,5,1,1,2,37,0,1,0,0,0,2,5,0,3,1,0,0,3
superb/wav2vec2-large-superb-ic,1,14,14,0,7,14,0,0,4,1,17,0,0,0,0,0,0,0,0,1,9,0,0,19,4,1,0,3,12,13,1,2,5,3,0,0,0,5,0,0,1,0,1,0,4,0,0,1,,,,,
SkolkovoInstitute/bart-base-detox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,6,7,21,14,28,10,11,12,1,0,0,0,0,9
