Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
nlptown/bert-base-multilingual-uncased-sentiment,8588,39743,19689,36816,18933,18407,11095,13259,11548,0,55316,17405,9256,16711,40582,39256,58576
dslim/bert-base-NER,177,24165,3959,12260,9251,16861,21572,28696,25699,55834,37543,23504,29360,45891,28826,27236,21175
hfl/chinese-roberta-wwm-ext,2778,17537,12549,10377,22596,17118,19664,28054,20493,0,19274,19145,15855,40840,24754,17770,9533
microsoft/deberta-v3-base,648,14470,14763,20314,25385,23394,20224,70754,21684,0,17364,23457,16087,20063,16386,18633,13784
Helsinki-NLP/opus-mt-en-ROMANCE,4187,49306,22242,36404,54358,44380,46313,53433,52098,33107,19804,16395,22883,20260,13079,10963,18135
Helsinki-NLP/opus-mt-zh-en,34984,353484,332424,330301,301726,624712,426022,350074,154777,7198,19697,25695,57833,9256,7725,11846,16329
sentence-transformers/all-MiniLM-L6-v2,3861,20570,27038,69937,14069,12779,43375,7935,10486,0,41775,71943,35647,16361,38585,55409,25289
distilbert-base-cased-distilled-squad,293,22468,35632,32190,54837,27178,29987,32703,37680,53557,37656,75745,75469,70943,89916,97416,106400
ProsusAI/finbert,2930,89077,74207,49284,41770,34228,49999,73141,44294,66260,34677,51053,289316,47985,49186,52703,48889
BaptisteDoyen/camembert-base-xnli,4857,48696,23289,15541,20175,20357,19180,20262,20093,20615,21005,19916,30519,21626,16150,18027,12989
uer/gpt2-chinese-cluecorpussmall,1693,15958,19911,17616,18394,17362,14278,20144,13998,0,21796,30838,24575,23435,17733,17278,27339
