,model_name
29227,Helsinki-NLP/opus-mt-en-he
27368,Helsinki-NLP/opus-mt-fr-tpi
17797,Helsinki-NLP/opus-mt-en-ts
6692,Helsinki-NLP/opus-mt-sv-st
5376,Helsinki-NLP/opus-mt-es-sg
6599,Helsinki-NLP/opus-mt-en-xh
20587,Helsinki-NLP/opus-mt-ny-en
6624,Helsinki-NLP/opus-mt-fr-ho
29170,Helsinki-NLP/opus-mt-es-ca
26548,Helsinki-NLP/opus-mt-sv-is
17984,Helsinki-NLP/opus-mt-es-ln
26520,Helsinki-NLP/opus-mt-bzs-fr
6636,Helsinki-NLP/opus-mt-kwy-en
16283,Helsinki-NLP/opus-mt-ca-es
27317,Helsinki-NLP/opus-mt-de-da
20558,Helsinki-NLP/opus-mt-cs-de
6679,Helsinki-NLP/opus-mt-fr-tum
20604,Helsinki-NLP/opus-mt-nso-en
5333,Helsinki-NLP/opus-mt-fr-pag
5319,Helsinki-NLP/opus-mt-fi-es
6646,Helsinki-NLP/opus-mt-guw-fr
27556,Helsinki-NLP/opus-mt-lt-de
6803,Helsinki-NLP/opus-mt-fi-ilo
26434,Helsinki-NLP/opus-mt-fr-bem
20543,Helsinki-NLP/opus-mt-es-sm
5169,Helsinki-NLP/opus-mt-sv-mfe
27417,Helsinki-NLP/opus-mt-en-ber
6480,Helsinki-NLP/opus-mt-bcl-sv
6475,Helsinki-NLP/opus-mt-ho-en
2541,Helsinki-NLP/opus-mt-chk-en
27423,Helsinki-NLP/opus-mt-fi-zne
6498,Helsinki-NLP/opus-mt-es-prl
6469,Helsinki-NLP/opus-mt-fi-srn
6467,Helsinki-NLP/opus-mt-lu-es
7028,Helsinki-NLP/opus-mt-en-mt
7033,Helsinki-NLP/opus-mt-fi-run
7039,Helsinki-NLP/opus-mt-sv-sl
2974,Helsinki-NLP/opus-mt-et-de
16893,Helsinki-NLP/opus-mt-ko-sv
26272,Helsinki-NLP/opus-mt-run-sv
16142,Helsinki-NLP/opus-mt-gaa-es
5247,Helsinki-NLP/opus-mt-fi-crs
18039,Helsinki-NLP/opus-mt-sn-es
26641,Helsinki-NLP/opus-mt-en-tdt
26429,Helsinki-NLP/opus-mt-sv-th
6840,Helsinki-NLP/opus-mt-lua-sv
5246,Helsinki-NLP/opus-mt-fi-bcl
26423,Helsinki-NLP/opus-mt-es-ceb
2395,Helsinki-NLP/opus-mt-id-es
19611,Helsinki-NLP/opus-mt-bcl-es
6848,Helsinki-NLP/opus-mt-en-mr
5186,Helsinki-NLP/opus-mt-sv-es
2390,Helsinki-NLP/opus-mt-fi-tiv
6871,Helsinki-NLP/opus-mt-lue-en
16181,Helsinki-NLP/opus-mt-lun-en
26383,Helsinki-NLP/opus-mt-en-sv
20270,Helsinki-NLP/opus-mt-fr-guw
26372,Helsinki-NLP/opus-mt-af-es
5192,Helsinki-NLP/opus-mt-es-bcl
5187,Helsinki-NLP/opus-mt-de-niu
6868,Helsinki-NLP/opus-mt-ha-es
29422,Helsinki-NLP/opus-mt-fi-mh
25929,Helsinki-NLP/opus-mt-es-bg
7690,Helsinki-NLP/opus-mt-en-toi
17027,Helsinki-NLP/opus-mt-ha-sv
8527,Helsinki-NLP/opus-mt-en-efi
8530,Helsinki-NLP/opus-mt-es-niu
8534,Helsinki-NLP/opus-mt-fr-pap
29588,Helsinki-NLP/opus-mt-bem-fi
