model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
Maklygin/mBert-relation-extraction-FT,https://huggingface.co/Maklygin/mBert-relation-extraction-FT,706,No,,,,,,2022.0,2022-06-07
Yale-LILY/brio-xsum-cased,https://huggingface.co/Yale-LILY/brio-xsum-cased,1241,No,,,,,,2022.0,2022-03-31
flax-community/gpt-neo-125M-code-clippy-dedup-2048,https://huggingface.co/flax-community/gpt-neo-125M-code-clippy-dedup-2048,2198,No,,,,,,2021.0,2021-07-17
dmis-lab/biosyn-sapbert-ncbi-disease,https://huggingface.co/dmis-lab/biosyn-sapbert-ncbi-disease,1417,No,,,,,,2021.0,2021-10-24
uclanlp/plbart-base,https://huggingface.co/uclanlp/plbart-base,16125,No,,,,,,2021.0,2021-10-06
princeton-nlp/unsup-simcse-bert-base-uncased,https://huggingface.co/princeton-nlp/unsup-simcse-bert-base-uncased,127930,No,,,,,,2021.0,2021-05-12
beomi/KcELECTRA-base,https://huggingface.co/beomi/KcELECTRA-base,26717,No,,,,,,2021.0,2021-04-07
deepset/bert-small-mm_retrieval-passage_encoder,https://huggingface.co/deepset/bert-small-mm_retrieval-passage_encoder,11842,No,,,,,,2021.0,2021-10-19
opentensor/bt-opt-1.3b,https://huggingface.co/opentensor/bt-opt-1.3b,11055,No,,,,,,2022.0,2022-09-22
KETI-AIR/ke-t5-base,https://huggingface.co/KETI-AIR/ke-t5-base,53200,No,,,,,,2021.0,2021-05-05
cambridgeltl/sst_mobilebert-uncased,https://huggingface.co/cambridgeltl/sst_mobilebert-uncased,9261,No,,,,,,2022.0,2022-03-14
ArthurZ/flax-tiny-random-bert-sharded,https://huggingface.co/ArthurZ/flax-tiny-random-bert-sharded,19764,No,,,,,,2022.0,2022-06-17
SkolkovoInstitute/gpt2-base-gedi-detoxification,https://huggingface.co/SkolkovoInstitute/gpt2-base-gedi-detoxification,3585,No,,,,,,2021.0,2021-11-02
ucinlp/diabetes-t5-small,https://huggingface.co/ucinlp/diabetes-t5-small,847,No,,,,,,2022.0,2022-08-26
voidful/wav2vec2-xlsr-multilingual-56,https://huggingface.co/voidful/wav2vec2-xlsr-multilingual-56,2427,No,,,,,,2021.0,2021-05-29
princeton-nlp/sup-simcse-roberta-large,https://huggingface.co/princeton-nlp/sup-simcse-roberta-large,114288,No,,,,,,2021.0,2021-04-21
hamishivi/fixed-distilroberta-base,https://huggingface.co/hamishivi/fixed-distilroberta-base,723,No,,,,,,2022.0,2022-06-21
anton-l/wav2vec2-base-superb-sv,https://huggingface.co/anton-l/wav2vec2-base-superb-sv,1065,No,,,,,,2021.0,2021-12-10
deepset/bert-small-mm_retrieval-table_encoder,https://huggingface.co/deepset/bert-small-mm_retrieval-table_encoder,6749,No,,,,,,2021.0,2021-10-19
peterchou/simbert-chinese-base,https://huggingface.co/peterchou/simbert-chinese-base,12287,No,,,,,,2021.0,2021-06-07
SEBIS/code_trans_t5_large_code_comment_generation_java_transfer_learning_finetune,https://huggingface.co/SEBIS/code_trans_t5_large_code_comment_generation_java_transfer_learning_finetune,1657,No,,,,,,2021.0,2021-02-17
geckos/pegasus-fined-tuned-on-paraphrase,https://huggingface.co/geckos/pegasus-fined-tuned-on-paraphrase,1049,No,,,,,,2021.0,2021-11-11
KETI-AIR/ke-t5-base-ko,https://huggingface.co/KETI-AIR/ke-t5-base-ko,722,No,,,,,,2021.0,2021-05-05
allenai/ivila-row-layoutlm-finetuned-s2vl-v2,https://huggingface.co/allenai/ivila-row-layoutlm-finetuned-s2vl-v2,2665,No,,,,,,2022.0,2022-07-05
RuRI/Talkmodel01,https://huggingface.co/RuRI/Talkmodel01,783,No,,,,,,2021.0,2021-09-17
peterchou/ernie-gram,https://huggingface.co/peterchou/ernie-gram,1669,No,,,,,,2021.0,2021-05-21
studio-ousia/luke-large-finetuned-conll-2003,https://huggingface.co/studio-ousia/luke-large-finetuned-conll-2003,7433,No,,,,,,2021.0,2021-04-25
KoboldAI/GPT-J-6B-Skein,https://huggingface.co/KoboldAI/GPT-J-6B-Skein,5174,No,,,,,,2021.0,2021-12-24
patrickvonplaten/tiny-wav2vec2-no-tokenizer,https://huggingface.co/patrickvonplaten/tiny-wav2vec2-no-tokenizer,1758,No,,,,,,2021.0,2021-09-20
Rakib/roberta-base-on-cuad,https://huggingface.co/Rakib/roberta-base-on-cuad,7579,No,,,,,,2021.0,2021-07-03
