model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
Luyu/co-condenser-marco-retriever,https://huggingface.co/Luyu/co-condenser-marco-retriever,1500,No,,,,,,2021.0,2021-09-02
miguelvictor/multilingual-gpt2-large,https://huggingface.co/miguelvictor/multilingual-gpt2-large,1484,No,,,,,,2021.0,2021-05-04
SetFit/distilbert-base-uncased__enron_spam__all-train,https://huggingface.co/SetFit/distilbert-base-uncased__enron_spam__all-train,1456,No,,,,,,2022.0,2022-01-26
elozano/bert-base-cased-news-category,https://huggingface.co/elozano/bert-base-cased-news-category,1450,No,,,,,,2022.0,2022-02-08
howey/bert-base-uncased-sst2,https://huggingface.co/howey/bert-base-uncased-sst2,1338,No,,,,,,2021.0,2021-05-25
Lysa/subheading_generator_en,https://huggingface.co/Lysa/subheading_generator_en,1224,No,,,,,,2021.0,2021-06-04
nielsr/detr-table-structure-recognition,https://huggingface.co/nielsr/detr-table-structure-recognition,1159,No,,,,,,2022.0,2022-09-06
howey/roberta-large-qqp,https://huggingface.co/howey/roberta-large-qqp,1153,No,,,,,,2021.0,2021-06-04
hkunlp/T5_base_finetune_all_tasks_2upsample2,https://huggingface.co/hkunlp/T5_base_finetune_all_tasks_2upsample2,1150,No,,,,,,2021.0,2021-12-24
google/pegasus-x-base,https://huggingface.co/google/pegasus-x-base,1006,No,,,,,,2022.0,2022-09-01
TehranNLP-org/bert-base-uncased-avg-mnli,https://huggingface.co/TehranNLP-org/bert-base-uncased-avg-mnli,1002,No,,,,,,2021.0,2021-07-06
KETI-AIR/ke-t5-large,https://huggingface.co/KETI-AIR/ke-t5-large,947,No,,,,,,2021.0,2021-05-05
ankur310794/bart-base-keyphrase-generation-kpTimes,https://huggingface.co/ankur310794/bart-base-keyphrase-generation-kpTimes,923,No,,,,,,2021.0,2021-04-09
uclanlp/visualbert-nlvr2-coco-pre,https://huggingface.co/uclanlp/visualbert-nlvr2-coco-pre,848,No,,,,,,2021.0,2021-05-31
microsoft/swinv2-large-patch4-window12-192-22k,https://huggingface.co/microsoft/swinv2-large-patch4-window12-192-22k,766,No,,,,,,2022.0,2022-06-15
Yale-LILY/brio-cnndm-cased,https://huggingface.co/Yale-LILY/brio-cnndm-cased,708,No,,,,,,2022.0,2022-05-16
